intent,response
greet,"Hello! How can I assist you today?"
greet,"Hi! How may I help you?"
greet,"Hey there! What can I do for you today?"
greet,"Good day! How can I support you?"
greet,"Welcome! How may I assist you today?"
greet,"Hello! What banking help do you need today?"
greet,"Hi there! How can I make your banking easier?"
greet,"Hey! How can I help you with your banking needs?"
greet,"Good to see you! How may I assist you?"
greet,"Hello! What can I do for you right now?"
greet,"Hi! Need any banking information?"
greet,"Hey! How are you today? How may I assist?"
greet,"Greetings! How can I help you?"
greet,"Welcome back! What can I assist you with?"
greet,"Hi! What do you want to check today?"
greet,"Hello! How can I support you financially?"
greet,"Hey there! What banking service do you need?"
greet,"Good morning! How may I help you today?"
greet,"Good afternoon! How may I assist you today?"
greet,"Good evening! What can I help you with today?"
greet,"Hi friend! How can I help you today?"
greet,"Hello user! What do you need help with?"
greet,"Hey! Ready when you are. What do you need?"
greet,"Hi! Let me know what bank service you want."
greet,"Hello! Tell me how I can assist you."
greet,"Hey there! What help can I offer today?"
greet,"Hi! I’m here to assist you with banking queries."
greet,"Hello! What information are you looking for?"
greet,"Greetings! Ready to help you."
greet,"Welcome! Happy to assist you."
greet,"Hi! What would you like to know?"
greet,"Hello! Please tell me what you need."
greet,"Hey! What can I check for you?"
greet,"Hi! What service can I assist with?"
greet,"Hello! I'm here to help you with banking."
greet,"Hey! Ask me anything about your bank account."
greet,"Hi! How can I help you today?"
greet,"Hello! What can I do for you?"
greet,"Hey there! How can I support you?"
greet,"Welcome! What banking help do you need?"

goodbye,"Goodbye! Have a great day."
goodbye,"See you soon! Take care."
goodbye,"Thanks for chatting. Goodbye!"
goodbye,"Bye! Hope to assist you again soon."
goodbye,"Take care! See you later."
goodbye,"Goodbye! Stay safe."
goodbye,"Bye! It was nice assisting you."
goodbye,"Goodbye! Feel free to come back anytime."
goodbye,"See you next time!"
goodbye,"Goodbye! Wishing you a wonderful day."
goodbye,"Bye for now!"
goodbye,"Farewell! Have a good day."
goodbye,"See you! Happy to help anytime."
goodbye,"Goodbye! Let me know if you need anything later."
goodbye,"Bye! Have a pleasant day."
goodbye,"Goodbye! Stay happy and safe."
goodbye,"Take care! See you around."
goodbye,"Bye! Thanks for visiting."
goodbye,"Goodbye! Reach out anytime."
goodbye,"See you soon! I'm here whenever you need help."
goodbye,"Bye! Hope your day goes well."
goodbye,"Goodbye! Always here to help."
goodbye,"Take care! Come again if needed."
goodbye,"Goodbye! Hope you found what you needed."
goodbye,"Bye! Have a peaceful day."
goodbye,"Goodbye! It was a pleasure assisting you."
goodbye,"See you next time! Take care."
goodbye,"Farewell! Reach out anytime."
goodbye,"Goodbye! Your banking assistant signing off."
goodbye,"Bye! Have a great time ahead."

thanks,"You're welcome!"
thanks,"Glad I could help!"
thanks,"Anytime! Happy to assist."
thanks,"No problem — always here to help."
thanks,"It’s my pleasure to help you."
thanks,"Sure! Let me know if you need anything else."
thanks,"Happy to serve!"
thanks,"You're welcome! Anything more?"
thanks,"Glad to assist!"
thanks,"Always here to help!"
thanks,"You're most welcome!"
thanks,"No worries, happy to help."
thanks,"Thanks to you as well!"
thanks,"Glad to support!"
thanks,"My pleasure!"
thanks,"You’re welcome! Need anything else?"
thanks,"Happy I could help you today!"
thanks,"You’re welcome! Feel free to ask more."
thanks,"Sure! Let me know if you need more help."
thanks,"You’re welcome! Have a great day ahead."

check_balance,"Please provide your account number to check your balance."
check_balance,"Sure! Tell me your account number so I can fetch your balance."
check_balance,"I can check that. What is your account number?"
check_balance,"To check your balance, please enter your account number."
check_balance,"Provide your account number and I’ll show your balance."
check_balance,"Kindly share your 10-digit account number."
check_balance,"Please type your account number to continue."
check_balance,"Share your account number for balance details."
check_balance,"Enter your account number to get your balance."
