query,intent,response,entities
good afternoon,greet,Hello! How can I assist you today?,
good afternoon,greet,Hello! How can I assist you today?,
good morning,greet,Hey! How may I help you today?,
hello,greet,Hello! How can I assist you today?,
hey,greet,Hey! How may I help you today?,
how are you,greet,Hello! How can I assist you today?,
good afternoon,greet,Hey! How may I help you today?,
good morning,greet,Hi there! What can I do for you?,
hey,greet,Hi there! What can I do for you?,
how are you,greet,Hi there! What can I do for you?,
hi,greet,Hey! How may I help you today?,
hello,greet,Hi there! What can I do for you?,
hey,greet,Hi there! What can I do for you?,
good evening,greet,Hi there! What can I do for you?,
good afternoon,greet,Hello! How can I assist you today?,
how are you,greet,Hello! How can I assist you today?,
hello,greet,Hi there! What can I do for you?,
good evening,greet,Hey! How may I help you today?,
good evening,greet,Hi there! What can I do for you?,
hey,greet,Hey! How may I help you today?,
good afternoon,greet,Hello! How can I assist you today?,
hi,greet,Hey! How may I help you today?,
good evening,greet,Hey! How may I help you today?,
good afternoon,greet,Hey! How may I help you today?,
good afternoon,greet,Hello! How can I assist you today?,
hello,greet,Hey! How may I help you today?,
hey,greet,Hello! How can I assist you today?,
hey,greet,Hi there! What can I do for you?,
good evening,greet,Hi there! What can I do for you?,
good evening,greet,Hey! How may I help you today?,
good afternoon,greet,Hey! How may I help you today?,
hello,greet,Hi there! What can I do for you?,
good morning,greet,Hello! How can I assist you today?,
good evening,greet,Hello! How can I assist you today?,
good afternoon,greet,Hi there! What can I do for you?,
good afternoon,greet,Hello! How can I assist you today?,
good evening,greet,Hi there! What can I do for you?,
how are you,greet,Hey! How may I help you today?,
good evening,greet,Hey! How may I help you today?,
hey,greet,Hello! How can I assist you today?,
hello,greet,Hello! How can I assist you today?,
good evening,greet,Hi there! What can I do for you?,
hello,greet,Hi there! What can I do for you?,
hello,greet,Hey! How may I help you today?,
hey,greet,Hey! How may I help you today?,
good evening,greet,Hey! How may I help you today?,
good morning,greet,Hello! How can I assist you today?,
hey,greet,Hello! How can I assist you today?,
hi,greet,Hi there! What can I do for you?,
good afternoon,greet,Hey! How may I help you today?,
hello,greet,Hello! How can I assist you today?,
how are you,greet,Hello! How can I assist you today?,
hello,greet,Hey! How may I help you today?,
hey,greet,Hi there! What can I do for you?,
hey,greet,Hi there! What can I do for you?,
good evening,greet,Hey! How may I help you today?,
good morning,greet,Hi there! What can I do for you?,
how are you,greet,Hi there! What can I do for you?,
hi,greet,Hi there! What can I do for you?,
hello,greet,Hi there! What can I do for you?,
hi,greet,Hello! How can I assist you today?,
how are you,greet,Hello! How can I assist you today?,
hey,greet,Hey! How may I help you today?,
good morning,greet,Hi there! What can I do for you?,
good afternoon,greet,Hi there! What can I do for you?,
good morning,greet,Hi there! What can I do for you?,
good morning,greet,Hey! How may I help you today?,
good afternoon,greet,Hey! How may I help you today?,
good afternoon,greet,Hi there! What can I do for you?,
good evening,greet,Hey! How may I help you today?,
hey,greet,Hello! How can I assist you today?,
hey,greet,Hey! How may I help you today?,
hello,greet,Hey! How may I help you today?,
hello,greet,Hi there! What can I do for you?,
hi,greet,Hello! How can I assist you today?,
hey,greet,Hello! How can I assist you today?,
how are you,greet,Hello! How can I assist you today?,
hello,greet,Hi there! What can I do for you?,
how are you,greet,Hello! How can I assist you today?,
hi,greet,Hi there! What can I do for you?,
good morning,greet,Hi there! What can I do for you?,
good evening,greet,Hello! How can I assist you today?,
hello,greet,Hey! How may I help you today?,
good evening,greet,Hey! How may I help you today?,
hi,greet,Hello! How can I assist you today?,
good morning,greet,Hey! How may I help you today?,
how are you,greet,Hi there! What can I do for you?,
hello,greet,Hi there! What can I do for you?,
hey,greet,Hi there! What can I do for you?,
good evening,greet,Hi there! What can I do for you?,
how are you,greet,Hey! How may I help you today?,
hi,greet,Hi there! What can I do for you?,
hi,greet,Hello! How can I assist you today?,
good morning,greet,Hey! How may I help you today?,
good morning,greet,Hi there! What can I do for you?,
good morning,greet,Hello! How can I assist you today?,
hi,greet,Hello! How can I assist you today?,
hi,greet,Hey! How may I help you today?,
good evening,greet,Hello! How can I assist you today?,
hey,greet,Hello! How can I assist you today?,
hi,greet,Hello! How can I assist you today?,
good morning,greet,Hey! How may I help you today?,
good evening,greet,Hello! How can I assist you today?,
good evening,greet,Hello! How can I assist you today?,
how are you,greet,Hey! How may I help you today?,
hello,greet,Hey! How may I help you today?,
good afternoon,greet,Hey! How may I help you today?,
good morning,greet,Hey! How may I help you today?,
good evening,greet,Hey! How may I help you today?,
hi,greet,Hello! How can I assist you today?,
good afternoon,greet,Hello! How can I assist you today?,
how are you,greet,Hello! How can I assist you today?,
good morning,greet,Hi there! What can I do for you?,
hey,greet,Hello! How can I assist you today?,
how are you,greet,Hi there! What can I do for you?,
good morning,greet,Hello! How can I assist you today?,
how are you,greet,Hello! How can I assist you today?,
good afternoon,greet,Hey! How may I help you today?,
good evening,greet,Hi there! What can I do for you?,
hello,greet,Hi there! What can I do for you?,
hello,greet,Hi there! What can I do for you?,
how are you,greet,Hi there! What can I do for you?,
good morning,greet,Hi there! What can I do for you?,
good evening,greet,Hello! How can I assist you today?,
good afternoon,greet,Hello! How can I assist you today?,
good evening,greet,Hello! How can I assist you today?,
good morning,greet,Hello! How can I assist you today?,
good evening,greet,Hi there! What can I do for you?,
good evening,greet,Hello! How can I assist you today?,
hello,greet,Hi there! What can I do for you?,
how are you,greet,Hey! How may I help you today?,
hi,greet,Hi there! What can I do for you?,
hello,greet,Hey! How may I help you today?,
hi,greet,Hello! How can I assist you today?,
good evening,greet,Hi there! What can I do for you?,
hello,greet,Hi there! What can I do for you?,
hello,greet,Hi there! What can I do for you?,
good morning,greet,Hey! How may I help you today?,
how are you,greet,Hi there! What can I do for you?,
hey,greet,Hey! How may I help you today?,
good afternoon,greet,Hi there! What can I do for you?,
hello,greet,Hi there! What can I do for you?,
hi,greet,Hey! How may I help you today?,
hello,greet,Hey! How may I help you today?,
hey,greet,Hello! How can I assist you today?,
good morning,greet,Hey! How may I help you today?,
